SalesID,OrderDate,CustomerID,ProductID,RegionID,QuantitySold,SalesAmount,Profit
2,26-Jan-21,3879,869,1217,10,5196.4,115.43
16,10-Oct-24,2237,3663,1013,10,2580.6,474.94
37,30-May-15,2416,1830,1131,10,966.9,744.46
38,24-Apr-18,940,2065,1548,10,4589.2,25.08
51,28-Feb-23,3224,2184,3920,10,1595,876.3
61,07-Apr-21,3212,3082,1152,10,280.5,672.27
76,20-Oct-22,2399,4594,1413,10,996.6,89.8
91,28-Jan-22,26,383,3533,10,2945.8,87.09
112,24-Feb-15,4910,1163,3227,10,1722.6,416.39
139,19-Apr-22,1684,3544,3955,10,3366,404.87
144,23-Jul-24,4521,2621,4738,10,3949,394.19
162,25-Oct-18,4727,2402,3869,10,462,506.48
171,12-Feb-23,3878,124,3692,10,721.6,344.64
200,01-Mar-18,450,3771,4674,10,4605.7,874.8
207,06-May-18,1396,2883,4488,10,2218.7,793.52
226,11-Dec-23,3419,3849,2662,10,1424.5,396.28
230,18-Nov-18,3686,3799,3234,10,4518.8,805.42
232,06-Sep-20,3865,3963,1280,10,546.7,448.73
235,19-Feb-19,4303,2653,518,10,479.6,1258.75
252,29-Apr-18,3670,435,4159,10,1876.6,388.61
254,18-May-19,4972,900,3846,10,2326.5,122.21
263,07-Nov-15,3513,3882,370,10,585.2,69.61
272,15-Sep-19,4098,4032,3607,10,1175.9,35.89
282,09-Feb-16,677,260,3535,10,4787.2,410.09
294,02-Sep-18,4090,1035,754,10,2272.6,964.15
299,04-Oct-19,3535,4722,2507,10,387.2,500.97
303,20-Mar-18,3329,2064,878,10,1248.5,960.1
323,12-Nov-24,3243,1620,3882,10,1394.8,134.9
332,07-Jan-16,1865,2384,2031,10,1464.1,1216.51
337,09-Aug-16,2228,1145,1414,10,2009.7,152.15
352,21-Jul-22,2501,3299,1298,10,2128.5,364.79
362,16-Oct-17,1249,2965,457,10,5005,344.85
381,09-Aug-15,4206,247,79,10,5431.8,185.2
398,06-Dec-22,2090,1444,1062,10,2295.7,220.83
399,20-Oct-22,272,450,4564,10,947.1,322.85
415,16-Jun-15,1626,2740,2128,10,3202.1,204.93
465,24-Jan-22,3298,205,4837,10,3311,623.26
475,11-May-18,2723,2673,890,10,4692.6,432.59
478,23-Sep-15,2569,2469,3414,10,927.3,848.1
497,17-Mar-23,197,4521,3524,10,234.3,280.39
521,18-May-22,91,1826,3440,10,1123.1,687.45
528,11-Feb-20,2527,1967,73,10,5234.9,559.02
550,04-Sep-21,970,3995,2089,10,394.9,283.36
562,16-Mar-18,3657,4194,4256,10,2999.7,314.52
588,08-Nov-17,2412,3282,4403,10,4820.2,269.47
638,05-Sep-23,1876,4663,1061,10,1531.2,432.78
639,24-Dec-21,3901,4185,4920,10,2041.6,535.6
661,10-Nov-19,1121,4375,1352,10,5276.7,482.59
671,21-Jan-20,4558,55,2123,10,1738,363.55
742,25-May-16,1393,404,1507,10,581.9,542.74
743,20-Apr-17,3432,4930,116,10,3661.9,348.35
762,10-Oct-21,2381,4948,87,10,5573.7,741.62
767,04-Aug-16,1803,4032,4862,10,3247.2,319.28
787,22-Mar-21,4632,1847,756,10,899.8,446.74
788,06-Mar-15,4338,4643,1717,10,2393.6,486.66
799,23-Sep-17,4271,4547,4660,10,843.7,57.02
811,30-Jun-22,734,463,1936,10,1261.7,204.53
822,28-Apr-17,2683,3673,3458,10,2629,26.13
838,20-Jul-19,1537,2858,778,10,297,26.86
844,12-Nov-20,257,670,680,10,4906,724.38
846,05-Dec-19,4638,2645,2218,10,1465.2,451.97
893,15-Apr-18,3129,2021,1811,10,3416.6,1464.21
909,16-Oct-15,1556,4035,3732,10,2044.9,472.76
911,13-Dec-16,2669,1105,1815,10,888.8,131.41
946,20-May-24,1810,4901,583,10,3418.8,176.39
953,26-Jul-21,2316,1447,1716,10,3588.2,642.71
963,25-Feb-20,2846,3007,821,10,2131.8,955.42
965,16-Apr-24,1869,4106,4838,10,1367.3,218.63
986,13-Sep-17,3591,1710,3476,10,5040.2,139.7
995,09-Oct-17,3267,3503,1811,10,4702.5,377.04
997,13-Aug-24,68,2212,1004,10,1002.1,63.21
1002,25-Oct-16,4716,4672,4954,10,4617.8,22.22
1012,11-Dec-23,208,1968,3142,10,1480.6,906.05
1015,20-Feb-20,4376,2169,3776,10,5333.9,959.11
1016,04-May-20,4373,402,4186,10,2840.2,415.56
1057,28-Nov-19,3837,3026,4785,10,3633.3,1324.13
1096,22-Aug-19,324,1523,1047,10,2380.4,142.12
1103,01-Apr-22,4537,3197,4801,10,4815.8,427.61
1107,30-Apr-24,459,907,1488,10,2702.7,947.43
1110,15-Jun-21,2295,2923,2913,10,757.9,1128.05
1112,23-Jul-21,244,3028,890,10,5275.6,42.96
1132,14-Jun-20,4830,1873,1157,10,5403.2,47.52
1199,03-Apr-16,4289,405,1113,10,4231.7,347.99
1202,02-Jun-20,4240,3948,2419,10,1437.7,295.94
1233,14-Apr-21,2925,3184,255,10,479.6,136.62
1264,14-Jul-17,1032,4392,3823,10,749.1,977.68
1268,29-Jan-22,1517,2887,2763,10,4404.4,841.01
1290,03-Nov-22,3130,1652,4856,10,1844.7,99.22
1380,12-Dec-24,3257,2288,3892,10,4288.9,867.33
1395,25-Nov-20,4167,4089,97,10,5438.4,88.44
1441,25-Jun-17,3175,3954,423,10,1938.2,511.23
1502,06-Apr-19,3732,1375,2443,10,3336.3,1039.63
1506,13-Oct-24,2062,4483,1513,10,647.9,812.64
1538,21-Sep-22,3580,2374,4962,10,5110.6,412.54
1581,04-Nov-19,3973,3822,1044,10,229.9,1062.37
1598,09-Feb-24,2986,2865,4894,10,1485,1305.91
1624,08-Jun-15,3871,2373,4346,10,1285.9,244.53
1627,14-Sep-20,3125,4101,430,10,2709.3,1188
1659,23-Jan-22,675,3342,1351,10,4596.9,956.34
1673,13-Jun-15,3066,4710,1463,10,4620,788.48
1682,05-Feb-15,4799,2031,121,10,3439.7,897.67
1726,26-Mar-19,2765,431,3706,10,3982,170.48
1727,29-Oct-15,2758,850,375,10,2193.4,751.04
1738,05-Mar-19,4277,331,1632,10,338.8,46.57
1758,18-Jan-17,4450,2985,4560,10,3888.5,1540.13
1763,23-Jul-20,4492,2998,273,10,4778.4,132.28
1767,17-Aug-22,3748,79,3175,10,647.9,631.22
1773,24-Jan-18,676,4936,470,10,260.7,528.99
1806,05-Nov-21,1627,4175,327,10,2952.4,378.38
1853,14-Dec-17,2129,4370,3823,10,5419.7,605.18
1885,30-Jun-23,3362,3253,4742,10,2922.7,409.01
1899,31-Dec-16,2457,1892,781,10,5520.9,399.83
1906,05-Dec-21,1702,3201,1912,10,579.7,480.02
1919,14-Apr-21,1574,2403,1906,10,4191,524.67
1928,24-Nov-20,3362,3842,3514,10,5139.2,155.01
1936,05-Sep-22,1875,751,360,10,3054.7,837.38
1944,23-Mar-24,2477,641,1505,10,1380.5,372.23
1951,15-Apr-16,536,368,4696,10,1878.8,640.78
1997,02-May-16,2613,1943,1808,10,1524.6,283.27
2050,02-May-20,2139,941,3561,10,941.6,315.61
2060,24-Apr-16,3780,3125,1545,10,4283.4,72.16
2078,25-Jul-16,2741,1444,2263,10,138.6,1299.29
2110,02-Jun-21,4356,423,1592,10,1342,513.51
2134,08-Jul-19,4856,1602,2533,10,2432.1,434.63
2143,05-Sep-16,2088,2259,1595,10,223.3,245.65
2156,04-Oct-17,3328,2334,465,10,3520,553.94
2157,31-Aug-18,2378,4820,4017,10,1523.5,1053.14
2161,13-Dec-23,2606,719,419,10,569.8,1010.35
2185,30-Sep-21,3062,3494,2453,10,717.2,250.01
2190,23-Dec-17,1951,1282,547,10,4253.7,131.44
2193,01-Jun-24,1417,3768,2809,10,4875.2,421.34
2202,31-May-17,1316,1259,2935,10,2299,1065.64
2248,29-May-17,174,1940,435,10,4271.3,1430.22
2263,15-Sep-24,238,1026,4706,10,1312.3,724.15
2299,21-Dec-20,4867,2074,3221,10,257.4,546.7
2317,05-Jan-18,1662,332,2393,10,612.7,673.7
2345,04-May-17,3973,2358,3108,10,3664.1,265.6
2353,28-Mar-24,1171,3209,1668,10,1859,114.05
2367,20-Jul-21,4327,992,1621,10,3910.5,1324.49
2402,04-Jul-15,200,1470,3180,10,2323.2,528.7
2403,28-Jun-16,1358,2662,3397,10,4472.6,435.2
2436,02-Jul-23,4968,4996,2095,10,2440.9,702.02
2438,01-Nov-18,2594,3945,2830,10,1954.7,1103.36
2454,18-Jan-22,3167,1400,1666,10,4734.4,539.26
2463,29-May-24,1678,4418,586,10,3274.7,99.53
2472,08-Dec-24,4473,4004,3125,10,3010.7,1561.56
2518,20-Mar-24,409,1466,4886,10,4584.8,489.19
2523,29-Nov-23,4407,2390,870,10,3547.5,456.72
2530,17-Feb-18,3108,156,2352,10,2745.6,372.35
2551,25-Jul-15,2983,4670,2561,10,4404.4,556.56
2553,14-Aug-21,2074,3476,3459,10,5511,905.32
2579,12-Jun-19,3764,1710,2008,10,5124.9,633.93
2627,21-Dec-16,998,1794,1120,10,1001,423.96
2635,01-Oct-22,1148,4936,4217,10,624.8,77.48
2644,03-May-22,3919,3146,2202,10,2098.8,494.74
2678,28-Jun-19,2899,1599,887,10,3030.5,316.14
2699,19-Aug-18,3073,4214,3257,10,1972.3,827.2
2700,18-May-15,2557,2142,3081,10,3845.6,120.25
2728,18-Mar-24,101,208,3886,10,3923.7,581.23
2760,09-Oct-17,430,4652,732,10,3190,341.83
2801,17-Jun-19,1633,418,2139,10,3210.9,667.74
2807,10-Sep-21,1725,3576,1241,10,4416.5,878.42
2815,07-Jan-22,3209,834,3719,10,319,418.53
2828,17-Mar-23,4465,4763,1940,10,598.4,1000.49
2844,09-May-15,3863,231,1695,10,4525.4,1032.57
2882,18-Mar-20,332,139,1322,10,4050.2,380.93
2929,08-Sep-19,1257,128,2816,10,1691.8,56.76
2956,03-Feb-18,949,3097,4190,10,3643.2,125.63
2973,29-Nov-20,3324,1251,3724,10,4281.2,386.69
2978,27-Aug-17,382,4434,352,10,484,528.17
3010,02-Mar-15,3664,2391,4172,10,3100.9,477.33
3035,14-Jun-19,1305,3526,521,10,3481.5,552.86
3039,30-Dec-23,584,3817,1334,10,3378.1,798.34
3076,01-Jan-16,1968,2351,2560,10,3125.1,560.47
3082,03-Apr-16,2657,1049,1896,10,3325.3,222.86
3093,04-Mar-21,1503,1006,4167,10,2695,129.37
3160,20-Dec-15,3904,3561,3349,10,4946.7,84.46
3164,05-Dec-24,1976,2812,1576,10,911.9,493.02
3178,03-Feb-16,4092,1948,4560,10,2008.6,812.15
3189,23-Mar-24,4644,474,4171,10,2588.3,894.7
3209,13-Mar-19,3558,3481,3273,10,4881.8,288.86
