RegionID,RegionName,Country
1,Region_1,United States
2,Region_2,Canada
3,Region_3,Mexico
4,Region_4,Brazil
5,Region_5,United Kingdom
6,Region_6,Germany
7,Region_7,France
8,Region_8,Italy
9,Region_9,Spain
10,Region_10,Netherlands
11,Region_11,Australia
12,Region_12,India
13,Region_13,China
14,Region_14,Japan
15,Region_15,South Korea
16,Region_16,South Africa
17,Region_17,Egypt
18,Region_18,Russia
19,Region_19,Turkey
20,Region_20,Saudi Arabia
21,Region_21,Argentina
22,Region_22,Chile
23,Region_23,Colombia
24,Region_24,Peru
25,Region_25,New Zealand
26,Region_26,Sweden
27,Region_27,Norway
28,Region_28,Denmark
29,Region_29,Finland
30,Region_30,Poland
31,Region_31,Portugal
32,Region_32,Belgium
33,Region_33,Switzerland
34,Region_34,Austria
35,Region_35,Greece
36,Region_36,Ireland
37,Region_37,Thailand
38,Region_38,Vietnam
39,Region_39,Malaysia
40,Region_40,Indonesia
41,Region_41,Philippines
42,Region_42,Pakistan
43,Region_43,Bangladesh
44,Region_44,Sri Lanka
45,Region_45,Nepal
46,Region_46,UAE
47,Region_47,Qatar
48,Region_48,Kuwait
49,Region_49,Oman
50,Region_50,Nigeria
51,Region_51,Kenya
52,Region_52,Morocco
53,Region_53,Algeria
54,Region_54,Venezuela
55,Region_55,Ecuador
56,Region_56,Paraguay
57,Region_57,Bolivia
58,Region_58,Uruguay
59,Region_59,Czech Republic
60,Region_60,Hungary
61,Region_61,Romania
62,Region_62,Bulgaria
63,Region_63,Slovakia
64,Region_64,Slovenia
65,Region_65,Croatia
66,Region_66,Serbia
67,Region_67,Lithuania
68,Region_68,Latvia
69,Region_69,Estonia
70,Region_70,Ukraine
71,Region_71,Belarus
72,Region_72,Kazakhstan
73,Region_73,Uzbekistan
74,Region_74,Turkmenistan
75,Region_75,Tajikistan
76,Region_76,Kyrgyzstan
77,Region_77,Mongolia
78,Region_78,Myanmar
79,Region_79,Cambodia
80,Region_80,Laos
81,Region_81,United States
82,Region_82,Canada
83,Region_83,Mexico
84,Region_84,Brazil
85,Region_85,United Kingdom
86,Region_86,Germany
87,Region_87,France
88,Region_88,Italy
89,Region_89,Spain
90,Region_90,Netherlands
91,Region_91,Australia
92,Region_92,India
93,Region_93,China
94,Region_94,Japan
95,Region_95,South Korea
96,Region_96,South Africa
97,Region_97,Egypt
98,Region_98,Russia
